2005al 2453455.83 15.569 .005 16.550 .012 15.939 .007 15.953 .012 DUP
2005al 2453456.83 15.557 .005 16.565 .016 15.965 .006 16.037 .010 DUP
2005al 2453462.75 15.882 .005 17.100 .007 16.386 .007 16.485 .015 DUP
2005am 2453433.69 14.157 .005 14.004 .012 14.214 .003 14.105 .015 DUP
2005am 2453454.57 14.275 .005 15.236 .005 14.351 .004 14.300 .010 DUP
2005am 2453455.50 14.204 .004 15.162 .005 14.341 .003 14.316 .007 DUP
2005am 2453456.49 14.111 .004 15.061 .004 14.319 .007 14.313 .003 DUP
2005am 2453461.57 14.082 .005 15.111 .004 14.575 .018 14.680 .006 DUP
2005am 2453462.50 14.152 .006 15.237 .005 14.700 .004 14.794 .015 DUP
2005el 2453640.83 15.622 .006 15.602 .019 15.687 .014             SWO
2005el 2453641.88             15.492 .007 15.616 .009 15.572 .015 BAA
2005el 2453643.82 15.526 .012 15.492 .009 15.682 .018             SWO
2005el 2453648.81 16.016 .013 15.831 .029 15.942 .057             SWO
2005el 2453653.80 16.493 .011 16.662 .006 16.268 .008 15.936 .011 DUP
2005el 2453656.86 16.573 .012 17.361 .062                         SWO
2005el 2453657.79 16.569 .012 17.298 .034 16.363 .030             SWO
2005el 2453660.85 16.455 .011 17.326 .039 16.261 .050             SWO
2005el 2453664.85 16.135 .017 17.147 .032                         SWO
2005el 2453668.82 15.758 .016 16.811 .031 15.897 .022             SWO
2005el 2453670.85 15.609 .018 16.654 .029                         SWO
2005el 2453672.85 15.578 .008 16.636 .036                         SWO
2005el 2453676.86 15.774 .011 17.010 .053                         SWO
2005el 2453677.86             17.184 .031 16.332 .088             SWO
2005el 2453679.80 15.969 .010 17.467 .095                         SWO
2005el 2453680.81 16.043 .009 17.399 .052 16.643 .055             SWO
2005el 2453681.82 16.125 .005 17.462 .013 16.585 .016 16.646 .032 DUP
2005el 2453686.84 16.432 .014             16.839 .049             SWO
2005el 2453688.83 16.527 .028 18.231 .091                         SWO
2005el 2453697.79 17.107 .022 18.865 .149 17.490 .110             SWO
2005el 2453701.76 17.325 .030 18.920 .156                         SWO
2005el 2453710.77 17.801 .033 19.789 .402 18.426 .350             SWO
2005el 2453715.69 18.031 .033 19.785 .461 18.479 .190             SWO
2005eq 2453647.84 16.902 .018 16.808 .035                         SWO
2005eq 2453648.71 16.902 .023 16.815 .026 17.021 .028             SWO
2005eq 2453653.76 17.221 .024 16.913 .024 17.174 .029 16.512 .027 DUP
2005eq 2453656.74 17.375 .019 17.065 .034 17.313 .042             SWO
2005eq 2453660.73 17.651 .022 17.272 .030 17.388 .061             SWO
2005eq 2453664.70 17.773 .017 17.870 .043 17.499 .052             SWO
2005eq 2453668.76 17.781 .025 18.265 .078 17.708 .071             SWO
2005eq 2453672.79 17.571 .032 18.352 .098 17.616 .077             SWO
2005eq 2453677.79 17.277 .020 18.260 .090 17.292 .077             SWO
2005eq 2453680.76 17.103 .028 18.348 .100 17.257 .067             SWO
2005eq 2453686.79 16.926 .026 17.934 .057                         SWO
2005eq 2453692.71 16.780 .014 17.844 .089 17.350 .054             SWO
2005eq 2453701.69 17.276 .022 18.573 .086                         SWO
