2004dt 2453249.77 16.630 .013 15.593 .004 15.660 .004 16.069 .006 15.769 .006 15.576 .006
2004dt 2453250.79 16.782 .012 15.661 .008 15.701 .007 16.110 .009 15.848 .008 15.629 .009
2004dt 2453251.81 16.886 .011 15.768 .008 15.753 .009 16.110 .009 15.949 .009 15.672 .009
2004dt 2453252.85 17.030 .011 15.835 .005 15.786 .004 16.049 .007 16.047 .006 15.719 .005
2004dt 2453253.77 17.150 .011 15.910 .004 15.778 .004             16.151 .013 15.774 .005
2004dt 2453256.72 17.627 .009 16.237 .005 15.803 .005 16.021 .007 16.568 .006 15.960 .010
2004dt 2453257.71 17.767 .013 16.355 .008 15.837 .010 16.032 .011 16.705 .008 16.016 .009
2004dt 2453258.74 17.913 .011 16.487 .005 15.858 .005 16.008 .007 16.854 .007 16.080 .008
2004dt 2453259.76 18.062 .011 16.622 .004 15.901 .004 15.993 .005 16.998 .006 16.159 .005
2004dt 2453260.78 18.216 .011 16.732 .008 15.931 .009 15.992 .009 17.132 .008 16.239 .008
2004dt 2453261.70 18.350 .013 16.847 .008 15.953 .009 15.982 .009 17.226 .013 16.315 .011
2004dt 2453262.69 18.446 .014 16.966 .011 16.045 .009 16.018 .009 17.383 .009 16.402 .010
2004dt 2453263.75 18.602 .016 17.077 .012 16.104 .011 16.082 .014 17.513 .014 16.524 .013
2004dt 2453264.72 18.707 .019 17.206 .010 16.154 .011 16.124 .014 17.607 .015 16.590 .013
2004dt 2453265.77 18.802 .015 17.315 .008 16.243 .007 16.158 .008 17.707 .014 16.664 .009
2004dt 2453266.71 18.847 .015 17.378 .005 16.307 .004 16.231 .005 17.797 .009 16.742 .007
2004dt 2453267.72 18.945 .022 17.452 .008 16.385 .006 16.289 .009 17.859 .012 16.805 .008
2004dt 2453268.72 19.016 .018 17.497 .009 16.397 .008 16.338 .010 17.901 .009 16.851 .007
2004dt 2453269.68                                                 17.955 .017 16.928 .007
2004dt 2453270.68                                                 17.997 .011 16.955 .006
2004dt 2453271.77 19.130 .023 17.642 .008 16.546 .007 16.532 .009 18.035 .011 16.997 .007
2004dt 2453272.75 19.120 .026 17.682 .009 16.592 .009 16.565 .008 18.071 .012 17.030 .008
2004dt 2453273.78 19.105 .032 17.693 .008 16.633 .008 16.623 .009 18.110 .012 17.062 .009
2004dt 2453274.70 19.169 .039 17.746 .009 16.675 .007 16.672 .008 18.124 .016 17.074 .009
2004dt 2453275.72 19.297 .061 17.766 .011 16.729 .008 16.742 .008 18.144 .022 17.119 .009
2004dt 2453276.73 19.114 .058 17.780 .017 16.760 .007 16.785 .010 18.163 .026 17.139 .009
2004dt 2453277.66 19.320 .095 17.823 .017 16.768 .013 16.796 .018 18.174 .031 17.157 .016
2004dt 2453279.68 19.272 .044 17.818 .012 16.837 .010 16.879 .011 18.204 .019 17.216 .011
2004dt 2453280.69 19.321 .031 17.841 .010 16.869 .009 16.932 .014 18.206 .016 17.252 .012
2004dt 2453281.71 19.302 .028 17.862 .009 16.917 .009 16.981 .009 18.264 .016 17.273 .011
2004dt 2453282.68 19.390 .026 17.876 .009 16.941 .009 17.033 .013                    
2004dt 2453284.81             17.877 .008 17.043 .005 17.085 .008 18.304 .013 17.321 .043
2004dt 2453287.67 19.433 .021 17.962 .007 17.088 .007 17.210 .009 18.321 .009 17.412 .008
2004dt 2453289.74 19.446 .019 17.943 .010 17.171 .009 17.292 .010 18.349 .010 17.452 .009
2004dt 2453291.67 19.479 .021 17.991 .008 17.224 .007 17.364 .009 18.361 .010 17.505 .008
2004dt 2453293.70 19.520 .032 18.031 .005 17.286 .005 17.427 .006 18.347 .026 17.527 .009
2004dt 2453294.77 19.584 .026 18.046 .006 17.329 .005 17.474 .006 18.427 .010 17.564 .007
2004dt 2453295.73 19.517 .027 18.038 .009 17.325 .009 17.499 .011 18.430 .010 17.579 .011
2004dt 2453299.66 19.640 .027 18.101 .008 17.435 .012 17.632 .016 18.471 .012 17.679 .011
2004dt 2453305.74 19.761 .081                                                        
2004dt 2453323.71 20.004 .160 18.434 .008 18.216 .009 18.455 .017                    
2004dt 2453324.66 20.078 .039 18.432 .007 18.245 .010 18.410 .011 18.773 .010 18.202 .009
2004dt 2453329.67 20.172 .053 18.504 .010 18.336 .010 18.561 .013 18.845 .015 18.299 .014
2004dt 2453331.60 20.194 .078 18.529 .010 18.460 .012 18.597 .017 18.870 .020 18.330 .015
2004dt 2453341.57 20.406 .043 18.684 .009 18.838 .012 18.877 .016 19.023 .013 18.560 .012
2004dt 2453345.60 20.531 .049 18.665 .015 18.865 .016 18.983 .022 19.115 .014 18.641 .011
2004dt 2453349.58 20.680 .059 18.794 .012 18.992 .017 19.069 .017 19.141 .012 18.724 .013
2004dt 2453365.60             19.062 .023 19.476 .027 19.496 .032 19.434 .035 19.070 .023
2004ef 2453255.66             17.868 .005 17.803 .005 18.016 .009 17.981 .006 17.885 .006
2004ef 2453256.63 18.429 .014 17.652 .005 17.586 .007 17.762 .009 17.754 .007 17.661 .010
2004ef 2453257.64 18.210 .011 17.458 .005 17.400 .005 17.585 .006 17.558 .007 17.482 .007
2004ef 2453258.61 18.069 .013 17.310 .004 17.249 .005 17.441 .008 17.419 .009 17.341 .005
2004ef 2453259.61 17.980 .013 17.183 .004 17.122 .005 17.360 .007 17.279 .005 17.212 .005
2004ef 2453260.62 17.897 .008 17.083 .004 17.021 .004 17.330 .007 17.189 .004 17.114 .004
2004ef 2453261.58 17.847 .012 17.010 .005 16.956 .007 17.315 .009 17.117 .006 17.035 .006
2004ef 2453262.56 17.875 .022 16.973 .004 16.901 .004 17.330 .009 17.086 .005 16.994 .004
2004ef 2453263.58 17.868 .013 16.937 .007 16.864 .009 17.346 .011 17.064 .007 16.954 .007
2004ef 2453264.59 17.903 .012 16.927 .005 16.826 .007 17.376 .009 17.058 .005 16.925 .007
2004ef 2453265.64 17.976 .012 16.937 .004 16.807 .005 17.368 .008 17.090 .005 16.912 .006
2004ef 2453266.61 18.045 .013 16.960 .004 16.805 .004 17.373 .007 17.111 .004 16.919 .004
2004ef 2453267.60 18.172 .016 17.005 .006 16.826 .007 17.372 .011 17.154 .006 16.933 .007
2004ef 2453268.62 18.286 .013 17.039 .006 16.840 .008 17.428 .011 17.222 .005 16.957 .004
2004ef 2453269.59                                                 17.322 .009        
2004ef 2453270.58                                                 17.384 .004 17.017 .004
2004ef 2453271.58 18.698 .027 17.238 .006 17.027 .005 17.689 .010 17.480 .007 17.066 .006
2004ef 2453272.63 18.698 .029 17.330 .007 17.108 .006 17.838 .012 17.587 .008 17.127 .007
2004ef 2453273.67 18.896 .040 17.425 .008 17.183 .008 17.909 .013 17.713 .010 17.192 .008
2004ef 2453274.62 19.091 .050 17.506 .010 17.241 .009 17.976 .016 17.822 .013 17.274 .008
2004ef 2453275.66 19.119 .081 17.631 .014 17.327 .011 18.017 .019 17.933 .016 17.329 .012
2004ef 2453276.61 19.351 .104 17.724 .016 17.357 .011 18.043 .020 18.099 .017 17.411 .014
2004ef 2453277.58 19.446 .092 17.830 .015 17.367 .017 18.035 .027 18.194 .018 17.475 .012
2004ef 2453278.59 19.624 .063 17.952 .013 17.426 .010 18.001 .016 18.324 .016 17.556 .011
2004ef 2453279.60 19.718 .057 18.074 .009 17.450 .009 17.965 .015 18.497 .016 17.617 .009
2004ef 2453280.59 20.007 .052 18.195 .008 17.459 .007 17.939 .012 18.617 .016 17.695 .009
2004ef 2453281.59 20.070 .036 18.311 .007 17.482 .008 17.901 .011 18.750 .011 17.778 .008
2004ef 2453282.57 20.236 .044 18.415 .009 17.499 .008 17.887 .011                    
2004ef 2453287.59 20.714 .066 18.929 .010 17.695 .005 17.801 .008 19.353 .013 18.167 .008
2004ef 2453289.60 20.816 .051 19.124 .007 17.837 .006 17.859 .008 19.564 .014 18.361 .009
2004ef 2453290.59 20.951 .088 19.230 .010 17.947 .006 17.946 .008 19.633 .022 18.437 .010
2004ef 2453291.57 20.941 .060 19.286 .011 18.029 .007 18.053 .010 19.710 .018 18.530 .010
2004ef 2453292.58 20.981 .087 19.341 .012 18.108 .006 18.133 .010 19.812 .020 18.621 .011
2004ef 2453294.58 21.139 .084 19.494 .010 18.262 .009 18.325 .011 19.904 .019 18.757 .010
2004ef 2453295.60 21.122 .065 19.549 .011 18.325 .008 18.403 .011 19.941 .018 18.842 .010
2004ef 2453298.56 21.355 .104 19.673 .013                                            
2004ef 2453300.57 21.200 .185 19.789 .022 18.540 .010 18.703 .013 20.123 .036 19.029 .016
2004ef 2453301.56             19.795 .029 18.593 .012 18.747 .016 20.119 .071 19.095 .025
2004ef 2453302.58 21.465 .423 19.784 .034 18.604 .013 18.845 .015 20.231 .080 19.082 .027
2004ef 2453303.57             19.812 .045 18.635 .017 18.839 .022 20.096 .097 19.175 .035
2004ef 2453305.59             19.794 .046 18.737 .019 18.911 .023             19.167 .027
2004ef 2453307.62             19.962 .067 18.823 .019 19.092 .035                    
2004ef 2453308.58 21.392 .366 19.922 .039 18.838 .016 19.110 .025             19.262 .028
2004ef 2453309.57             19.933 .018 18.866 .012 19.194 .020             19.238 .026
2004ef 2453310.57 21.576 .142 19.942 .013 18.883 .010 19.185 .020 20.328 .044 19.322 .017
2004ef 2453311.58 21.543 .171 19.954 .015 18.921 .010 19.214 .017             19.349 .014
2004ef 2453312.55 21.623 .170 19.982 .014 18.968 .012 19.212 .028                    
2004ef 2453321.56 21.819 .166 20.125 .017 19.271 .011 19.603 .025 20.451 .031 19.603 .020
2004ef 2453329.55             20.287 .047 19.535 .022 19.869 .037 20.622 .090 19.744 .036
2004eo 2453266.50 18.515 .017 17.405 .016 17.198 .016 17.364 .016 17.574 .017 17.298 .016
2004eo 2453267.49 17.889 .019 16.990 .016 16.826 .016 16.979 .016 17.117 .017 16.917 .016
2004eo 2453268.49 17.381 .017 16.630 .016 16.517 .016 16.651 .016 16.736 .017 16.613 .016
2004eo 2453269.54                                                 16.456 .017 16.331 .017
2004eo 2453270.54                                                 16.203 .012 16.115 .016
2004eo 2453271.52 16.499 .019 15.904 .016 15.844 .016 16.015 .017 16.018 .017 15.940 .016
2004eo 2453272.52 16.339 .019 15.758 .017 15.707 .016 15.895 .016 15.857 .017 15.784 .016
2004eo 2453273.51 16.207 .019 15.637 .017 15.592 .016 15.796 .016 15.742 .017 15.670 .017
2004eo 2453274.49 16.126 .020 15.551 .016 15.509 .016 15.751 .017 15.657 .017 15.578 .016
2004eo 2453275.49 16.117 .025 15.498 .018 15.448 .017 15.720 .017 15.583 .017 15.505 .017
2004eo 2453276.56 16.086 .021             15.391 .016 15.719 .016 15.538 .019 15.452 .017
2004eo 2453277.48 16.077 .019 15.392 .016 15.372 .016 15.752 .016 15.501 .017 15.404 .016
2004eo 2453278.49 16.093 .017 15.352 .017 15.344 .016 15.788 .016 15.489 .017 15.375 .016
