SN 2006hx 1023.73 18.331 082                                  SWO
SN 2006hx 1024.63            17.673 090 16.374 050            SWO
SN 2006hx 1030.71 19.238 287 18.553 142                       SWO
SN 2006hx 1037.67 18.595 022 19.300 057 18.578 064            DUP
SN 2006hx 1040.66 18.367 020 19.216 057 18.424 057            DUP
SN 2006hx 1048.68 17.852 020 18.644 037 18.011 059            DUP
SN 2006is 1009.85 17.568 029 17.178 044 17.352 097            SWO
SN 2006is 1014.84 17.868 045 17.572 023 17.595 082            DUP
SN 2006is 1016.88 17.978 044 17.871 091 17.649 118            SWO
SN 2006is 1021.86 18.059 066 18.215 153 17.605 175            SWO
SN 2006is 1027.84 17.815 051 18.906 281 17.736 143            SWO
SN 2006is 1030.83 17.517 030 18.613 108                       SWO
SN 2006is 1037.85 17.188 020 18.194 028                       DUP
SN 2006is 1038.80                       17.362 045            DUP
SN 2006is 1048.80 17.075 020 18.087 025 17.596 044            DUP
SN 2006kf 1037.79 16.492 019 16.364 021 16.498 056            DUP
SN 2006kf 1039.74 16.560 020 16.389 020                       DUP
SN 2006kf 1041.71 16.681 023 16.523 028 16.702 062            SWO
SN 2006kf 1043.66 16.843 033 16.704 038 16.785 076            SWO
SN 2006kf 1045.73 17.000 041 16.998 067 16.888 115            SWO
SN 2006kf 1047.73 17.130 029 17.431 068 17.040 114            SWO
SN 2006kf 1049.76 17.293 020 17.730 021                       DUP
SN 2006kf 1053.72 17.127 025 18.040 122 17.099 089            SWO
SN 2006kf 1057.69 16.867 025 17.796 097 16.797 082            SWO
SN 2006kf 1066.77 16.575 020 17.507 020                       DUP
SN 2006kf 1070.71 16.590 025 17.803 101 17.357 119            SWO
SN 2006kf 1074.70 17.125 029 18.620 162 17.588 125            SWO
SN 2006kf 1078.65 17.367 025 18.755 131 17.836 167            SWO
SN 2006kf 1083.68 17.639 044 18.906 244 18.015 320            SWO
SN 2006kf 1100.61 18.520 040                                  DUP
SN 2006kf 1111.66 19.199 154                                  SWO
SN 2006kf 1124.62 19.333 140                                  SWO
SN 2006lu 1041.86 19.016 126                                  SWO
SN 2006lu 1043.82 19.264 205 19.806 542                       SWO
SN 2006lu 1045.80 19.585 270 19.659 359 19.064 475            SWO
SN 2006lu 1049.82 18.547 043 19.709 150 18.275 123            DUP
SN 2006lu 1543.62 21.354 289                                  DUP
SN 2006lu 1838.74 21.474 341 21.792 434 19.244 272            DUP
SN 2006ob 1063.56 18.472 109 18.389 140                       SWO
SN 2006ob 1066.62 18.802 028 18.883 046 18.977 086            DUP
SN 2006ob 1067.65 18.756 097 18.703 152 18.665 360            SWO
SN 2006ob 1070.53 18.828 136 18.825 210 18.936 465            SWO
SN 2006ob 1072.61 18.984 125 19.057 235                       SWO
SN 2006ob 1074.64 18.802 115 19.202 247 18.794 505            SWO
SN 2006ob 1077.56 18.724 119 18.929 253                       SWO
SN 2006ob 1083.56 18.505 091 18.807 253                       SWO
SN 2006ob 1090.54 18.560 058                                  SWO
SN 2006ob 1098.54 19.032 151                                  SWO
SN 2006ob 1100.54 19.195 055 19.998 160 19.870 226            DUP
SN 2006ob 1109.58 20.132 454                                  SWO
SN 2006os 1063.63 17.585 058 17.304 074 17.139 144            SWO
SN 2006os 1066.68 17.864 020 17.592 020 17.648 038            DUP
SN 2006os 1070.60 17.821 066 17.891 108 17.617 173            SWO
SN 2006os 1073.69 18.166 024 18.495 032 18.064 073            DUP
SN 2006os 1077.63 17.954 064 18.612 205 17.666 175            SWO
SN 2006os 1083.63 17.761 059 18.601 238                       SWO
SN 2006os 1090.57 17.261 045                                  SWO
SN 2006os 1098.58 17.427 042                                  SWO
SN 2006os 1103.60 17.718 063                                  SWO
SN 2006os 1109.62 18.064 073                                  SWO
SN 2006ot 1063.71 17.915 056 17.892 104 17.966 206            SWO
SN 2006ot 1066.73 18.045 021 17.996 020 18.261 055            DUP
SN 2006ot 1067.72 18.073 065 18.123 100 18.235 218            SWO
SN 2006ot 1070.69                       18.239 256            SWO
SN 2006ot 1072.67 18.087 051 18.096 096 18.032 174            SWO
SN 2006ot 1073.64 18.206 022 18.217 024 18.329 054            DUP
SN 2006ot 1077.68 18.037 058 18.161 120 18.167 267            SWO
SN 2006ot 1082.66 18.037 041 18.525 140                       SWO
SN 2006ot 1086.59 17.953 054                                  SWO
SN 2006ot 1093.61 17.901 033 18.420 137                       SWO
SN 2006ot 1098.61 17.849 047 18.376 126                       SWO
SN 2006ot 1103.63 18.136 047 18.361 107                       SWO
