SN 2006bt  862.73   18.073 021 17.037 007 16.947 007 17.291 008 17.290 008 16.965 008
SN 2006bt  866.69   18.543 049 17.251 008 17.040 008 17.390 010 17.537 012 17.098 008
SN 2006bt  867.75   18.569 061 17.321 010 17.075 008 17.412 012 17.632 014 17.130 008
SN 2006bt  870.77   19.089 163 17.550 010 17.207 008 17.530 012 17.911 018 17.308 010
SN 2006bt  871.71   19.224 085 17.666 008 17.244 008 17.545 010 18.028 016 17.375 008
SN 2006bt  872.74   19.262 065 17.764 010 17.299 008 17.561 010 18.119 014 17.450 008
SN 2006bt  886.65 a 20.522 049 18.940 006 17.900 004 17.784 004 19.374 012 18.359 006
SN 2006bt  890.68   20.614 217 19.101 014 18.082 021 18.021 017 19.572 026 18.574 043
SN 2006bt  891.70   20.652 189 19.184 017 18.169 010 18.030 010 19.633 035 18.601 016
SN 2006bt  893.68 a 20.681 143 19.242 012 18.234 005 18.141 006 19.653 029 18.668 010
SN 2006bt  894.64 a 20.661 179 19.270 017            18.189 008 19.702 030 18.710 014
SN 2006bt  897.58 a 20.821 164 19.383 036 18.366 008 18.298 008 19.756 040 18.786 017
SN 2006bt  898.61 a 21.233 211 19.357 014 18.421 007 18.363 008 19.737 032 18.807 012
SN 2006ef  979.89   17.206 017 15.973 006 16.025 005 16.828 007 16.212 012 15.877 006
SN 2006ef  981.80   17.507 020 16.184 007 16.143 007 16.893 008 16.459 010 15.994 008
SN 2006ef  986.80              16.731 008 16.253 008 16.739 008 17.138 021 16.321 008
SN 2006ef  998.79   19.564 058 17.962 008 16.890 006 16.977 008 18.357 017 17.287 008
SN 2006ef 1001.83   19.713 033 18.131 008 17.090 008 17.217 008 18.522 016 17.464 008
SN 2006ef 1003.81   19.844 040 18.214 010 17.206 008 17.342 012 18.623 017 17.560 010
SN 2006ef 1008.79   19.935 037 18.365 010 17.406 008 17.616 010 18.751 017 17.757 010
SN 2006ef 1014.70   20.028 110 18.498 020 17.665 020 17.883 017 18.831 037 17.908 017
SN 2006ef 1036.72   20.533 056 18.847 012 18.385 008 18.775 017 19.206 020 18.529 012
SN 2006ef 1040.69   20.633 105 18.891 014 18.489 012 18.921 022 19.272 029 18.608 016
SN 2006ej  979.73   16.681 012 15.827 006 15.802 006 16.471 007            15.821 007
SN 2006ej  981.70   16.898 014 15.927 007 15.903 008 16.582 008 16.071 008 15.881 008
SN 2006ej  986.67   17.582 028 16.319 008 16.286 008 17.078 010 16.551 010 16.156 008
SN 2006ej  998.65   19.251 041 17.627 007 16.654 006 16.889 008 18.042 012 17.014 008
SN 2006ej 1001.59   19.416 048 17.938 008 16.867 008 16.981 012 18.330 014 17.258 010
SN 2006ej 1003.60   19.601 069 18.128 010 17.055 007 17.158 008 18.490 016 17.448 008
SN 2006ej 1008.57   19.930 085 18.411 010 17.402 010 17.564 010 18.807 018 17.766 010
SN 2006ej 1012.57   19.843 112 18.587 022 17.588 012 17.820 016 18.905 042 17.911 016
SN 2006ej 1017.72   20.097 157 18.635 030 17.773 025 18.053 036 19.025 056 18.121 028
