SN2003gs        Iap  K09
SN2003du        Ia   St07
SN2003cg        Ia   ER06
SN2002fk        Ia   Ca14
SN2002dj        Ia   P08
SN2002cv        Ia   ER08,DP02
SN2002bo        Ia   K04c,B04
SN2001el        Ia   K03,S07
SN2001cz        Ia   K04c
SN2001cn        Ia   K04c
SN2001bt        Ia   K04c
SN2001ba        Ia   K04b
SN2001ay        Iap  K11
SN2000cx        Iap  Ca03,So04,Cu02
SN2000ce        Ia   K01
SN2000ca        Ia   K04b
SN2000bk        Ia   K01
SN2000bh        Ia   K04b
SN2000E         Ia   V03
SN1999gp        Ia   K01
SN1999ek        Ia   K04c
SN1999ee        Ia   K04b
SN1999cp        Ia   K00
SN1999cl        Ia   K00
SN1999by        Iap  G04
SN1999ac        Iap  Ph06
SN1999aa        Iap  K00
SN1998bu        Ia   H00,J99
PTF09dlc        Ia   BN12
PTF10hdv        Ia   BN12
PTF10mwb        Ia   BN12
PTF10ndc        Ia   BN12
PTF10nlg        Ia   BN12
PTF10qyx        Ia   BN12
PTF10tce        Ia   BN12
PTF10ufj        Ia   BN12
PTF10wnm        Ia   BN12
PTF10wof        Ia   BN12
PTF10xyt        Ia   BN12
SN2011hr        Ia   W14
SN2011gy        Ia   W14
SN2011hk        Iap  W14
SN2011fs        Ia   W14
SN2011gf        Ia   W14
SN2011hb        Ia   W14
SN2011io        Ia   W14
SN2011iu        Ia   W14
PTF11qri        Ia   W14
PTF11qmo        Ia   W14
PTF11qzq        Ia   W14
PTF11qpc        Ia   W14
SN2011ha        Ia   W14
