SN2005hk   6.96187 -1.19819 UGC_272   SAB(s)d 0.012993 0.000041 NED_Host_Galaxy_Name            IAUC_8625,CBET_268 SDSS-II,_LOSS CBET_269,Ph07       Iax
SN2008A   24.57248 35.37029 NGC_634   Sa      0.016455 0.000007 NED_21-cm_or_Opt_Smallest_Error CBET_1193          Ichimura      CBET_1198,F13,Mc14b Iax
SN2008ae 149.01322 10.49965 IC_577    S?      0.03006  0.000037 NED_21-cm_or_Opt_Smallest_Error CBET_1247          POSS          CBET_1250,F13       Iax
SN2008ha 353.71951 18.22659 UGC_12682 Im      0.004623 0.000002 NED_21-cm_or_Opt_Smallest_Error CBET_1567          POSS          CBET_1576,F09       Iax
