SN2007le        354.70186  -6.52269 NGC_7721                       SA(s)c         0.006728 0.000002 NED_Host_Galaxy_Name            CBET_1100                    Monard             CBET_1101                     Ia
SN2007nq         14.38999  -1.38874 UGC_595                        E              0.045031 0.000053 NED_Host_Galaxy_Name            CBET_1106                    ROTSE-III          CBET_1106                     Ia
SN2007qe        358.55408  27.40916 NSF_J235412.09+272432.3        -999           0.024    0.001    CBET_1176                       CBET_1138                    ROTSE-III          CBET_1138,CBET_1176,CBET_1145 Ia
SN2007rx        355.04908  27.42097 BATC_J234012.05+272512.23      -999           0.0301   0.001    Hicken_09a                      CBET_1157                    ROTSE-III          CBET_1157,ATEL_1321           Ia
SN2007sr        180.46995 -18.97269 NGC_4038                       SB(s)m_pec     0.005417 0.000017 NED_21-cm_or_Opt_Smallest_Error CBET_1172,CBET_1180          CSS                CBET_1173,CBET_1174           Ia
SN2008C         104.29794  20.43723 UGC_3611                       S0/a           0.016621 0.000013 NED_Host_Galaxy_Name            CBET_1195                    POSS               CBET_1197                     Ia
SN2008Z         145.81364  36.28439 SDSS_J094315.36+361709.2       -999           0.02099  0.000226 NED_Host_Galaxy_Name            CBET_1243                    POSS               CBET_1246                     Ia
SN2008af        224.86846  16.65325 UGC_9640                       E              0.033507 0.000153 NED_Host_Galaxy_Name            CBET_1248                    Boles              CBET_1253                     Ia
SNF20080514-002 202.30350  11.27236 UGC_8472                       S0             0.022095 0.00009  NED_Host_Galaxy_Name            ATEL_1532                    SNF                ATEL_1532                     Ia
SNF20080522-000 204.19796   5.14200 SDSS?                          -999           0.04526  0.0002   Childress+13                    SNF                          SNF                Bailey+09                     Ia
SNF20080522-011 229.99519   4.90454 SDSS?                          -999           0.03777  0.00006  Childress+13                    SNF                          SNF                Bailey+09                     Ia
SN2008fr         17.95488  14.64068 SDSS_J011149.19+143826.5       -999           0.039    0.002    CBET_1513                       CBET_1513                    ROTSE-III          CBET_1513                     Ia
SN2008fv        154.23873  73.40986 NGC_3147                       SA(rs)bc       0.009346 0.000003 NED_Host_Galaxy_Name            CBET_1520                    Itagaki            CBET_1522                     Ia
SN2008fx         32.89166  23.87998 2MASX_J02113233+2353074        -999           0.059    0.003    CfA_Optical_Spectrum            CBET_1523                    CSS                CBET_1525                     Ia
SN2008gb         44.48821  46.86566 UGC_2427                       Sbc            0.037626 0.000041 CfA_Optical_Spectrum            CBET_1527                    POSS               CBET_1530                     Ia
SN2008gl         20.22829   4.80531 UGC_881                        E              0.034017 0.000117 NED_Host_Galaxy_Name            CBET_1545                    CHASE              CBET_1547,CBET_1548           Ia
