SN2005ao        05 17 44 24.84 +61 56 15.34 19     14.867     0.002     14.838     0.037 18     14.456     0.002     14.421     0.041 19     14.427     0.003     14.465     0.088
SN2005ao        06 17 44 25.94 +61 54 36.45 18     16.585     0.003     16.463     0.123 19     15.937     0.004     16.047     0.163 19     15.711     0.006     15.792     0.289
SN2005ao        07 17 44 26.13 +61 53 40.29 19     16.781     0.003     16.677     0.138 19     16.124     0.004     15.986     0.161 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        08 17 44 27.38 +61 51 46.23 19     13.457     0.002     13.454     0.025 19     13.184     0.002     13.142     0.027 19     13.103     0.002     13.106     0.036
SN2005ao        09 17 44 27.78 +61 57 44.58 19     16.670     0.003     16.701     0.138 17     15.979     0.005     15.997     0.145 -9 -99999.    -9999.    -99999.    -9999.
SN2005ao        10 17 44 30.19 +61 57 54.78 14     16.604     0.004     16.459     0.118 13     15.888     0.005     16.015     0.158 09     15.652     0.009     15.513     0.235
SN2005ao        11 17 44 31.38 +61 56 02.31 19     16.209     0.003     16.209     0.099 19     15.588     0.003     15.949     0.157 19     15.517     0.005     15.411     0.205
SN2005ao        12 17 44 33.04 +61 52 36.98 19     13.184     0.002     13.138     0.023 19     12.517     0.002     12.490     0.024 19     12.329     0.002     12.308     0.022
SN2005ao        13 17 44 34.75 +61 53 36.47 19     14.409     0.002     14.398     0.031 19     13.737     0.002     13.748     0.032 19     13.557     0.002     13.557     0.044
SN2005ao        14 17 44 35.83 +61 53 56.37 19     16.191     0.002     16.140     0.092 19     15.647     0.003     15.826     0.136 19     15.359     0.005     15.382     0.196
SN2005ao        15 17 44 37.70 +61 54 15.06 19     15.987     0.002     15.937     0.084 19     15.314     0.003     15.429     0.095 19     15.158     0.004     15.233     0.177
SN2005ao        16 17 44 43.94 +61 53 13.26 19     14.634     0.002     14.639     0.033 18     14.087     0.002     14.073     0.036 19     13.942     0.002     13.936     0.060
SN2005ao        17 17 44 45.15 +61 50 51.58 19     16.512     0.003     16.586     0.134 19     16.107     0.004     16.234     0.191 19     15.954     0.007     15.642     0.252
SN2005ao        18 17 44 45.20 +61 56 39.35 19     14.483     0.002     14.467     0.032 18     14.109     0.002     14.199     0.038 19     14.040     0.002     14.158     0.074
SN2005ao        19 17 44 49.50 +61 57 10.03 19     14.796     0.002     14.872     0.037 18     14.095     0.002     14.122     0.037 19     13.949     0.003     13.984     0.060
SN2005ao        20 17 44 52.51 +61 51 43.75 09     16.994     0.007     17.239     0.240 12     16.175     0.007     15.699     0.137 15     15.424     0.007     15.202     0.170
SN2005ao        21 17 44 52.87 +61 56 03.59 19     14.298     0.002     14.316     0.031 19     13.773     0.002     13.794     0.034 19     13.680     0.002     13.713     0.051
SN2005ao        22 17 44 53.48 +61 54 11.50 19     15.842     0.002     15.732     0.064 19     15.162     0.003     15.003     0.072 19     15.009     0.004     14.983     0.133
