SN2005bl        Iap PAIRITEL H   2005May13 53503.16   620.458   173.260 18.02 0.31
SN2005bl        Iap PAIRITEL H   2005May25 53515.25   453.547   102.626 18.36 0.25
SN2005bl        Iap PAIRITEL K_s 2005Apr21 53481.23  1901.185   485.542 16.80 0.28
SN2005bl        Iap PAIRITEL K_s 2005Apr26 53486.21  1270.163   360.343 17.24 0.32
SN2005bl        Iap PAIRITEL K_s 2005Apr28 53488.19  1309.793   198.466 17.21 0.17
SN2005bl        Iap PAIRITEL K_s 2005Apr29 53489.18  1397.057   218.292 17.14 0.17
SN2005bl        Iap PAIRITEL K_s 2005Apr30 53490.18  1196.598   288.986 17.31 0.27
SN2005bl        Iap PAIRITEL K_s 2005May03 53493.21  1304.758   225.786 17.21 0.19
SN2005bl        Iap PAIRITEL K_s 2005May05 53495.19  1128.896   331.679 17.37 0.33
SN2005bl        Iap PAIRITEL K_s 2005May07 53497.18  1096.882   292.731 17.40 0.30
SN2005bl        Iap PAIRITEL K_s 2005May08 53498.16   929.556   210.334 17.58 0.25
SN2005bl        Iap PAIRITEL K_s 2005May12 53502.16   822.588   158.823 17.71 0.21
SN2005bo        Ia  PAIRITEL J   2005Apr30 53490.20  1585.480    94.201 17.00 0.06
SN2005bo        Ia  PAIRITEL J   2005May03 53493.22  1428.790   107.656 17.11 0.08
SN2005bo        Ia  PAIRITEL J   2005May04 53494.18  1651.992   139.836 16.95 0.09
SN2005bo        Ia  PAIRITEL J   2005May05 53495.22  1636.564   302.733 16.97 0.20
SN2005bo        Ia  PAIRITEL J   2005May06 53496.30  2041.189    87.811 16.73 0.05
SN2005bo        Ia  PAIRITEL J   2005May07 53497.21  1902.375    97.512 16.80 0.06
SN2005bo        Ia  PAIRITEL J   2005May08 53498.18  2035.204    79.316 16.73 0.04
SN2005bo        Ia  PAIRITEL J   2005May09 53499.21  2097.760    76.202 16.70 0.04
SN2005bo        Ia  PAIRITEL J   2005May10 53500.21  2060.446    78.386 16.72 0.04
SN2005bo        Ia  PAIRITEL J   2005May12 53502.20  2404.809   113.113 16.55 0.05
SN2005bo        Ia  PAIRITEL J   2005May13 53503.22  2533.562    48.916 16.49 0.02
SN2005bo        Ia  PAIRITEL J   2005May14 53504.22  2662.812   699.117 16.44 0.29
SN2005bo        Ia  PAIRITEL J   2005May16 53506.20  2778.903   123.274 16.39 0.05
SN2005bo        Ia  PAIRITEL J   2005May17 53507.23  2924.483   107.232 16.33 0.04
SN2005bo        Ia  PAIRITEL J   2005May19 53509.22  2593.230    83.559 16.47 0.03
SN2005bo        Ia  PAIRITEL H   2005Apr30 53490.20  3797.634   338.587 16.05 0.10
SN2005bo        Ia  PAIRITEL H   2005May03 53493.22  4567.315   283.730 15.85 0.07
SN2005bo        Ia  PAIRITEL H   2005May04 53494.18  4505.219   350.764 15.87 0.08
SN2005bo        Ia  PAIRITEL H   2005May06 53496.30  4990.121   438.911 15.75 0.10
SN2005bo        Ia  PAIRITEL H   2005May07 53497.21  5326.113   340.557 15.68 0.07
SN2005bo        Ia  PAIRITEL H   2005May08 53498.18  5174.582   460.596 15.72 0.10
SN2005bo        Ia  PAIRITEL H   2005May09 53499.21  5408.080   440.786 15.67 0.09
SN2005bo        Ia  PAIRITEL H   2005May10 53500.21  6011.043   375.618 15.55 0.07
SN2005bo        Ia  PAIRITEL H   2005May11 53501.25  5973.940   319.734 15.56 0.06
SN2005bo        Ia  PAIRITEL H   2005May12 53502.20  5312.783   374.948 15.69 0.08
SN2005bo        Ia  PAIRITEL H   2005May13 53503.22  5882.013   413.665 15.58 0.08
SN2005bo        Ia  PAIRITEL H   2005May14 53504.22  4923.700  1114.104 15.77 0.25
SN2005bo        Ia  PAIRITEL H   2005May16 53506.20  5336.307   492.945 15.68 0.10
SN2005bo        Ia  PAIRITEL H   2005May17 53507.23  4728.905   482.734 15.81 0.11
SN2005bo        Ia  PAIRITEL H   2005May19 53509.22  3850.298   268.922 16.04 0.08
SN2005bo        Ia  PAIRITEL H   2005May21 53511.24  4213.199   167.124 15.94 0.04
SN2005bo        Ia  PAIRITEL K_s 2005Apr30 53490.20  4682.178   305.041 15.82 0.07
SN2005bo        Ia  PAIRITEL K_s 2005May03 53493.22  4226.862   450.704 15.93 0.12
SN2005bo        Ia  PAIRITEL K_s 2005May04 53494.18  5126.420   445.455 15.73 0.09
SN2005bo        Ia  PAIRITEL K_s 2005May06 53496.30  5266.007   143.371 15.70 0.03
SN2005bo        Ia  PAIRITEL K_s 2005May07 53497.21  5399.351   389.572 15.67 0.08
SN2005bo        Ia  PAIRITEL K_s 2005May08 53498.18  5780.640   394.966 15.60 0.07
SN2005bo        Ia  PAIRITEL K_s 2005May09 53499.21  6140.394   652.100 15.53 0.12
SN2005bo        Ia  PAIRITEL K_s 2005May10 53500.21  5233.849   503.484 15.70 0.10
SN2005bo        Ia  PAIRITEL K_s 2005May11 53501.25  6070.499   323.276 15.54 0.06
SN2005bo        Ia  PAIRITEL K_s 2005May12 53502.20  5247.942   309.873 15.70 0.06
SN2005bo        Ia  PAIRITEL K_s 2005May13 53503.22  5434.788   511.916 15.66 0.10
SN2005bo        Ia  PAIRITEL K_s 2005May16 53506.20  5080.607   289.749 15.74 0.06
SN2005bo        Ia  PAIRITEL K_s 2005May19 53509.22  4392.820   404.526 15.89 0.10
SN2005cf        Ia  PAIRITEL H   2005Jun01 53522.24 13442.191   232.135 14.68 0.02
SN2005cf        Ia  PAIRITEL H   2005Jun02 53523.25 15784.694   443.764 14.50 0.03
SN2005cf        Ia  PAIRITEL H   2005Jun03 53524.24 18947.599   535.445 14.31 0.03
SN2005cf        Ia  PAIRITEL H   2005Jun11 53532.23 25996.223   550.180 13.96 0.02
SN2005cf        Ia  PAIRITEL H   2005Jun13 53534.23 24299.535   809.415 14.04 0.04
SN2005cf        Ia  PAIRITEL H   2005Jun14 53535.22 21979.123   284.918 14.14 0.01
SN2005cf        Ia  PAIRITEL H   2005Jun15 53536.21 21672.278   676.176 14.16 0.03
SN2005cf        Ia  PAIRITEL H   2005Jun18 53539.21 21307.140  1095.149 14.18 0.06
SN2005cf        Ia  PAIRITEL H   2005Jun30 53551.16 25223.376  1476.284 14.00 0.06
SN2005cf        Ia  PAIRITEL H   2005Jul02 53553.17 25958.094  1494.917 13.96 0.06
SN2005cf        Ia  PAIRITEL H   2005Jul03 53554.17 23289.441   702.267 14.08 0.03
SN2005cf        Ia  PAIRITEL H   2005Jul04 53555.28 25062.189  1374.488 14.00 0.06
SN2005cf        Ia  PAIRITEL H   2005Jul05 53556.17 23683.803   381.164 14.06 0.02
SN2005cf        Ia  PAIRITEL H   2005Jul06 53557.15 24989.850  1855.415 14.01 0.08
SN2005cf        Ia  PAIRITEL H   2005Jul07 53558.15 25030.569  2048.004 14.00 0.09
SN2005cf        Ia  PAIRITEL H   2005Jul09 53560.16 24336.036   410.597 14.03 0.02
SN2005cf        Ia  PAIRITEL H   2005Jul12 53563.15 23014.593   447.312 14.09 0.02
SN2005cf        Ia  PAIRITEL J   2005Jun01 53522.24 13076.798   271.022 14.71 0.02
SN2005cf        Ia  PAIRITEL J   2005Jun02 53523.25 16147.679   225.998 14.48 0.02
SN2005cf        Ia  PAIRITEL J   2005Jun03 53524.24 20151.065   515.710 14.24 0.03
SN2005cf        Ia  PAIRITEL J   2005Jun11 53532.23 29384.912  1065.614 13.83 0.04
SN2005cf        Ia  PAIRITEL J   2005Jun13 53534.23 24538.521   991.009 14.03 0.04
SN2005cf        Ia  PAIRITEL J   2005Jun14 53535.22 25401.224   309.894 13.99 0.01
SN2005cf        Ia  PAIRITEL J   2005Jun15 53536.21 23591.184   304.768 14.07 0.01
SN2005cf        Ia  PAIRITEL J   2005Jun18 53539.21 18361.765   386.795 14.34 0.02
SN2005cf        Ia  PAIRITEL J   2005Jun30 53551.16  7291.901   170.174 15.34 0.03
SN2005cf        Ia  PAIRITEL J   2005Jul02 53553.17  7487.200   196.028 15.31 0.03
SN2005cf        Ia  PAIRITEL J   2005Jul03 53554.17  7540.932   161.444 15.31 0.02
SN2005cf        Ia  PAIRITEL J   2005Jul04 53555.28  7833.081   130.293 15.27 0.02
SN2005cf        Ia  PAIRITEL J   2005Jul05 53556.17  8083.604   174.195 15.23 0.02
SN2005cf        Ia  PAIRITEL J   2005Jul06 53557.15  8778.408   186.251 15.14 0.02
SN2005cf        Ia  PAIRITEL J   2005Jul07 53558.15  8669.614   286.969 15.16 0.04
SN2005cf        Ia  PAIRITEL J   2005Jul09 53560.16 10433.897   250.799 14.95 0.03
SN2005cf        Ia  PAIRITEL J   2005Jul12 53563.15 11965.687   264.474 14.81 0.02
SN2005cf        Ia  PAIRITEL K_s 2005Jun01 53522.24 11924.276   234.045 14.81 0.02
